,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,grade,year,room_total,month
0,2014-10-13,221900.0,3,1,1180,5650,1,7,2014,4,10
1,2014-12-09,538000.0,3,2,2570,7242,2,7,2014,5,12
2,2015-02-25,180000.0,2,1,770,10000,1,6,2015,3,2
3,2014-12-09,604000.0,4,3,1960,5000,1,7,2014,7,12
4,2015-02-18,510000.0,3,2,1680,8080,1,8,2015,5,2
5,2014-05-12,1225000.0,4,4,5420,101930,1,11,2014,8,5
6,2014-06-27,257500.0,3,2,1715,6819,2,7,2014,5,6
7,2015-01-15,291850.0,3,1,1060,9711,1,7,2015,4,1
8,2015-04-15,229500.0,3,1,1780,7470,1,7,2015,4,4
9,2015-03-12,323000.0,3,2,1890,6560,2,7,2015,5,3
10,2015-04-03,662500.0,3,2,3560,9796,1,8,2015,5,4
11,2014-05-27,468000.0,2,1,1160,6000,1,7,2014,3,5
12,2014-05-28,310000.0,3,1,1430,19901,1,7,2014,4,5
13,2014-10-07,400000.0,3,1,1370,9680,1,7,2014,4,10
14,2015-03-12,530000.0,5,2,1810,4850,1,7,2015,7,3
15,2015-01-24,650000.0,4,3,2950,5000,2,9,2015,7,1
16,2014-07-31,395000.0,3,2,1890,14040,2,7,2014,5,7
17,2014-05-29,485000.0,4,1,1600,4300,1,7,2014,5,5
18,2014-12-05,189000.0,2,1,1200,9850,1,7,2014,3,12
19,2015-04-24,230000.0,3,1,1250,9774,1,7,2015,4,4
20,2014-05-14,385000.0,4,1,1620,4980,1,7,2014,5,5
21,2014-08-26,2000000.0,3,2,3050,44867,1,9,2014,5,8
22,2014-07-03,285000.0,5,2,2270,6300,2,8,2014,7,7
23,2014-05-16,252700.0,2,1,1070,9643,1,7,2014,3,5
24,2014-11-20,329000.0,3,2,2450,6500,2,8,2014,5,11
25,2014-11-03,233000.0,3,2,1710,4697,1,6,2014,5,11
26,2014-06-26,937000.0,3,1,2450,2691,2,8,2014,4,6
27,2014-12-01,667000.0,3,1,1400,1581,1,8,2014,4,12
28,2014-06-24,438000.0,3,1,1520,6380,1,7,2014,4,6
29,2015-03-02,719000.0,4,2,2570,7173,2,8,2015,6,3
30,2014-11-10,580500.0,3,2,2320,3980,2,8,2014,5,11
31,2014-12-01,280000.0,2,1,1190,1265,3,7,2014,3,12
32,2014-06-24,687500.0,4,1,2330,5000,1,7,2014,5,6
33,2014-11-10,535000.0,3,1,1090,3000,1,8,2014,4,11
34,2014-12-03,322500.0,4,2,2060,6659,1,7,2014,6,12
35,2014-06-13,696000.0,3,2,2300,3060,1,8,2014,5,6
36,2014-05-28,550000.0,4,1,1660,34848,1,5,2014,5,5
37,2014-12-30,640000.0,4,2,2360,6000,2,8,2014,6,12
38,2015-02-13,240000.0,4,1,1220,8075,1,7,2015,5,2
39,2014-06-20,605000.0,4,2,2620,7553,2,8,2014,6,6
40,2014-07-15,625000.0,4,2,2570,5520,2,9,2014,6,7
41,2014-08-11,775000.0,4,2,4220,24186,1,8,2014,6,8
42,2014-07-07,861990.0,5,2,3595,5639,2,9,2014,7,7
43,2014-10-28,685000.0,3,1,1570,2280,2,7,2014,4,10
44,2014-07-29,309000.0,3,1,1280,9656,1,6,2014,4,7
45,2014-07-18,488000.0,3,2,3160,13603,2,8,2014,5,7
46,2015-03-25,210490.0,3,1,990,8528,1,6,2015,4,3
47,2014-07-16,785000.0,4,2,2290,13416,2,9,2014,6,7
48,2015-04-28,450000.0,3,1,1250,5963,1,7,2015,4,4
49,2015-03-11,1350000.0,3,2,2753,65005,1,9,2015,5,3
50,2014-09-16,228000.0,3,1,1190,9199,1,7,2014,4,9
51,2015-02-17,345000.0,5,2,3150,9134,1,8,2015,7,2
52,2014-12-31,600000.0,3,1,1410,4080,1,7,2014,4,12
53,2015-02-05,585000.0,2,1,1980,8550,1,7,2015,3,2
54,2015-03-03,920000.0,5,2,2730,6000,1,8,2015,7,3
55,2014-05-12,885000.0,4,2,2830,5000,2,9,2014,6,5
56,2014-08-19,292500.0,4,2,2250,4495,2,7,2014,6,8
57,2015-04-07,301000.0,3,2,2420,4750,2,8,2015,5,4
58,2014-08-27,951000.0,5,3,3250,14342,2,8,2014,8,8
59,2015-02-23,430000.0,4,3,1850,9976,2,8,2015,7,2
60,2014-12-10,650000.0,3,2,2150,21235,1,8,2014,5,12
61,2014-08-28,289000.0,3,1,1260,8400,1,7,2014,4,8
62,2014-10-21,505000.0,3,1,2519,8690,2,8,2014,4,10
63,2014-12-07,549000.0,3,1,1540,1044,3,8,2014,4,12
64,2014-06-03,425000.0,3,2,1660,6000,1,7,2014,5,6
65,2014-11-20,317625.0,3,2,2770,3809,1,7,2014,5,11
66,2014-09-09,975000.0,4,2,2720,11049,2,10,2014,6,9
67,2014-10-09,287000.0,4,2,2240,4648,2,7,2014,6,10
68,2014-08-25,204000.0,3,1,1000,12070,1,7,2014,4,8
69,2014-06-12,1325000.0,5,2,3200,20158,1,8,2014,7,6
70,2014-09-12,1040000.0,5,3,4770,50094,1,11,2014,8,9
71,2015-01-05,325000.0,3,2,1260,5612,1,7,2015,5,1
72,2014-06-10,571000.0,4,2,2750,7807,1,7,2014,6,6
73,2014-07-10,360000.0,4,2,2380,5000,2,8,2014,6,7
74,2015-03-16,349000.0,3,1,1790,50529,1,7,2015,4,3
75,2014-11-05,832500.0,4,4,3430,35102,2,10,2014,8,11
76,2014-10-13,380000.0,4,1,1760,7300,1,7,2014,5,10
77,2015-04-20,480000.0,3,1,1040,5060,1,7,2015,4,4
78,2014-06-09,410000.0,3,1,1410,5060,1,7,2014,4,6
79,2015-03-23,720000.0,4,2,3450,39683,2,10,2015,6,3
80,2014-12-02,390000.0,3,2,2350,5100,2,8,2014,5,12
81,2014-12-22,360000.0,4,2,1900,5889,2,7,2014,6,12
82,2014-10-28,355000.0,2,1,2020,6720,1,7,2014,3,10
83,2015-01-28,356000.0,3,1,1680,8712,1,8,2015,4,1
84,2014-06-02,315000.0,3,1,960,6634,1,6,2014,4,6
85,2014-11-14,940000.0,3,1,2140,3600,2,9,2014,4,11
86,2014-11-03,305000.0,5,2,2660,8400,1,7,2014,7,11
87,2014-06-18,461000.0,3,3,2770,6278,2,9,2014,6,6
88,2014-05-19,215000.0,2,2,1610,2040,2,7,2014,4,5
89,2014-09-04,335000.0,2,1,1030,1066,2,7,2014,3,9
90,2014-05-22,243500.0,4,2,1980,7403,2,7,2014,6,5
91,2015-03-11,1099880.0,5,2,3520,6353,2,10,2015,7,3
92,2015-02-26,153000.0,3,1,1200,10500,1,7,2015,4,2
93,2014-07-25,430000.0,3,1,1580,5000,1,8,2014,4,7
94,2014-12-23,700000.0,3,1,1580,5000,1,8,2014,4,12
95,2014-09-08,905000.0,4,2,3300,10250,1,7,2014,6,9
96,2015-03-30,247500.0,3,1,1960,15681,1,7,2015,4,3
97,2014-09-12,199000.0,4,1,1160,6400,1,7,2014,5,9
98,2014-07-11,314000.0,3,1,1810,41800,1,7,2014,4,7
99,2014-05-16,437500.0,3,2,2320,36847,2,9,2014,5,5
100,2014-06-11,850830.0,3,2,2070,13241,1,9,2014,5,6
